No,title,abstrak,truelabel,, 
11,STUDI KOMPARASI DAN ANALISIS SWOT PADA IMPLEMENTASI KECERDASAN BUATAN (ARTIFICIAL INTELLIGENCE) DI INDONESIA,"Artificial Intelligence (AI) atau kecerdasan buatan telah berkembang pesat dalam dekade terakhir.
Penggunaannya banyak diimplementasikan di lintas sektor seperti Badan Usaha Milik Negara
(BUMN), universitas, dan pemerintahan. Studi ini menggunakan Strenght-Weakness-OpportunityThreat (SWOT) untuk mengukur implementasi AI. Sampel ditujukan pada inkubator bisnis pemerintah
dan BUMN, selain itu juga menggunakan analisis konten terhadap beberapa implementasi AI yang
ada. Hasil penelitian menunjukkan bahwa peningkatan efektivitas dan efisiensi perusahaan merupakan
faktor utama yang mendorong tingginya tingkat implementasi AI. Namun implementasi dan
pengembangan teknologi AI akan kurang maksimal jika tidak diperhatikan dengan detil atau
disandingkan dengan teknologi lain (teknologi pangan dan lain-lain).
",0,,
12,Perkembangan Bioteknologi di Indonesia,"Bioteknologi telah berkembang di Indonesia sejak lama namun cenderung lambat dikarenakan oleh beberapa faktor. Faktor pertama adalah minimnya dana penelitian dalam bidang bioteknologi. Penelitian bioteknologi dibutuhkan untuk meningkatkan kuantitas dan kualitas produk serta pengetahuan tentang bioteknologi. Faktor lain yaitu rendahnya sumber daya manusia, fasilitas dan kebijakan pemerintah yang terkesan memperpanjang proses pemasaran produk rekayasa genetika. Bioteknologi memiliki peranan positif bagi dunia pertanian, kesehatan serta lingkungan. Dalam dunia pertanian, bioteknologi membantu untuk mengurangi krisis pangan, memperbaiki kualitas pangan dan meningkatkan jumlah produksi hasil pertanian. Di bidang kesehatan, bioteknologi dapat mendiagnosis suatu penyakit genetis maupun non genetis serta mengobati penyakit tertentu. Dalam bidang lingkungan, bioteknologi dapat meningkatkan kualitas lingkungan yang telah tercemar seperti remediasi, bioleaching, mengurangi sampah plastik dengan memproduksi bioplastik serta memproduksi pupuk hayati yang ramah lingkungan.",0,,
13,Implementasi Algoritma Boyer-Moore pada Aplikasi Kamus Kedokteran Berbasis Android,"Kamus adalah buku referensi yang berisi kata dan frasa yang biasanya disusun menurut abjad dan diikuti dengan deskripsi artinya, penggunaan, atau terjemahan. Kamus memiliki beberapa macam, salah satunya yang merupakan kamus istilah. Kamus Kedokteran adalah kamus istilah yang berisi istilah kedokteran. Medis kamus identik dengan buku tebal yang rumit dan lambat dalam penggunaannya. Untuk mengatasi hal ini kita membutuhkan tenaga medis aplikasi kamus. Aplikasi kamus kedokteran membutuhkan proses pencarian untuk mendukung kinerja dari aplikasi. Proses pencarian diperlukan untuk mempersingkat waktu dalam pencarian itu sendiri. Pencarian dilakukan dengan menggunakan Boyer - Algoritma Moore adalah algoritma pencarian string yang memiliki waktu pencarian tercepat, karena string cocok bergerak dari kanan ke kiri, sehingga dapat mempersingkat waktu dan mempermudah penggunaan aplikasi kamus kedokteran. Penelitian ini dibuat berbasis Android dengan menggunakan pemrograman Java bahasa dengan database SQLite. Setelah pengujian, 100% dari 45 responden menyatakan bahwa penerapan medis ini kamus memiliki keakuratan kata yang dihasilkan dalam proses pencarian.",0,,
14,"BLOCKCHAIN DAN KECERDASAN BUATAN DALAM PERTANIAN : 
STUDI LITERATUR","Dewasa ini teknologi blockchain dan kecerdasan buatan (artificial intelligence/AI) telah diimplementasikan dalam 
bidang pertanian. Teknologi blockchain menjanjikan keamanan dan peningkatan kepercayaan untuk pengguna. 
Teknologi kecerdasan buatan menjanjikan berbagai kemudahan bagi pengguna. Perpaduan kedua teknologi 
tersebut dapat meningkatan kepercayaan terhadap sistem kecerdasan buatan (blockchain for AI) atau dapat juga 
digunakan untuk meningkatkan kinerja sistem blockchain (AI for blockchain). Tujuan penelitian ini mengulas 
kedua teknologi tersebut dalam studi literatur serta memberikan tantangan riset ke depan terkait implementasinya 
di bidang pertanian. Metodologi yang digunakan adalah Systematic Literature Review (SLR) dan text mining. Text 
mining digunakan untuk memberikan deskripsi riset yang ada berdasarkan kata-kata di setiap artikel terpilih. SLR 
digunakan untuk memberikan ulasan yang komprehensif terkait riset Blockchain dan kecerdasan Buatan dalam 
pertanian. Hasil penelitian menunjukan bahwa terdapat 10 % penelitian terkait penerapan blockchain dan AI dalam 
pertanian. Riset tersebut memiliki potensi besar untuk berkembang terlihat dari peningkatan jumlah publikasi 
dalam 2 tahun terakhir. Kontribusi penelitian ini meliputi posisi riset terkini dan usulan riset ke depan dengan 
mempertimbangkan kondisi pertanian Indonesia. Posisi riset tersebut didominasi komunitas peneliti dari negaranegara di Asia seperti India (33%), Pakistan (33%), China (14%) dan Korea (14%). Originalitas penelitian ini 
terletak pada studi literatur dari integrasi teknologi blockchain dan kecerdasan buatan dalam bidang pertanian 
menggunakan SLR dan text mining.",0,,
15,KECERDASAN BUATAN PADA GAME EDUKASI UNTUK PEMBELAJARAN BAHASA INGGRIS BERBASIS PENDEKATAN HEURISTIK SIMILARITAS,"Game menjadi salah satu industri yang berkembang pesat pada kehidupan sehari-hari. Saat ini game sangatlah popular di semua kalangan baik kalangan anak-anak, remaja maupun dewasa. Namun masih banyak game yang hanya memprioritaskan unsur adiktif dan mengabaikan unsur edukatif. Selain itu, banyak game berbasis pendidikan yang kurang memiliki unsur fun. Oleh karena itu, diperlukan game yang memiliki unsur edukasi dan fun sebagai media hiburan dan pendidikan bagi pengguna. Game edukasi yang bermanfaat di era globalisasi ini ialah tentang game edukasi Bahasa Inggris. Dalam pembangunan game dibutuhkan rancangan teori yang disebut gamification dimana salah satu elemen penting yang harus ada di dalam game ialah peran dari kecerdasan buatan dimana sering disebut AI (Artificial intelligence). Penelitian ini bertujuan untuk membangun AI pada game edukasi Bahasa Inggris yang cepat dan akurat. Metode yang digunakan pada AI ialah berbasis pada pendekatan heuristik similaritas. Artinya heuristik yang berdasarkan kebiasaan manusia dalam menjawab soal seperti menyamakan soal dengan ingatannya pada kejadian sehari-hari. Soal yang diujikan merupakan soal grammar Bahasa Inggris. Hasil menunjukkan metode perhitungan similaritas yang diusulkan mendapatkan nilai akurasi lebih dari 60%. Kesimpulan yang didapat ialah metode heuristik dapat diterapkan pada kecerdasan buatan untuk dapat menjawab soal secara otomatis.",0,,
16,Media Pembelajaran dengan Kecerdasan Buatan dalam Pembelajaran Bahasa Inggris Generasi-Z,"Penelitian ini bertujuan untuk mengembangkan sebuah purwa-rupa media pembelajaran Bahasa Inggris berbasis kecerdasan buatan untuk siswa kelas VIII SMPN 5 Mengwi, Bali. Adapun konten materi yang ditentukan dalam penelitian ini adalah teks deskripsi hewan endemik Indonesia. Penelitian ini menggunakan desain Research and Development ADDIE. Dalam model ADDIE terdiri 5 tahapan penelitian yang dilakukan, diantaranya tahap Analisis (Analysis), Desain (Design), Pengembangan (Development), Implementasi (Implementation), dan Evaluasi (Evaluation). Namun, peneliti hanya melaksanakan penelitian ini sampai dengan tahapan pengembangan mengingat terbatasnya waktu yang tersedia. Data penelitian diperoleh dari hasil kuesioner, interview, dan validasi ahli materi dan media. Pada observasi awal ditemukan bahwa 96.1% siswa berumur 13-15 tahun di Kabupaten Badung terbiasa dengan penggunaan teknologi dalam kehidupan sehari-hari. Hal ini menunjukan kedekatan mereka sebagai generasi Z terhadap penerapan teknologi dalam segala aspek kehidupan mereka, termasuk dalam proses belajar-mengajar. Oleh karena itu, dirasa perlu untuk peneliti mengembangkan sebuah media pembelajaran berbasis teknologi yang dapat mendukung guru dalam mengajar siswa yang juga adalah generasi z. Teknologi kecerdasan buatan digunakan dalam penelitian ini dengan melihat penelitian sebelumnya yang mengungkapkan keuntungan yang dapat diperoleh dalam pengimplementasiannya di dalam kelas. Di akhir pembelajaran, dari segi materi ditemukan bahwa purwa-rupa dari media pembelajaran yang dirancang memiliki kualitas yang sangat baik dengan nilai 84. Penelitian ini pula dinilai dapat menciptakan purwa-rupa yang memiliki kualitas sangat baik dari segi media dengan total nilai akhir 85.",0,,
17,KECERDASAN BUATAN (Artificial Intelligence) SEBAGAI ALAT BANTU PROSES PENYUSUNAN UNDANG-UNDANG DALAM UPAYA MENGHADAPI REVOLUSI INDUSTRI 4.0 DI INDONESIA,"Indonesia merupakan Negara hukum, hal tersebut jelas diatur di dalam Pasal 1 ayat(3) UUDNRI 1945. Konsekuensi logis dari hal ini adalah bahwa setiap warga Negara harus tunduk dan taat pada hukum yang berlaku dalam hal ini adalah peraturan perundang-undangan. Dalam perkembangannya hukum diharapkan harus selalu mampu menjawab perubahan dan tantangan masyarakat dalam perubahan jaman. Hukum dalam hal ini Undang-Undang diharapakan dapat selalu menjadi tempat bagi masyarakat untuk menemukan jawaban. Hal ini sejalan dengan adanya Revolusi Industri 4.0 yang akan dan sedang berlangsung saat ini. Kecerdasan buatan (Artificial Intelligence) dalam hal ini dimaksudkan dapat membantu melakukan prediksi (forecasting) dan pemeringkatan (ranking) terhadap hal-hal apa yang sekiranya di kemudian hari memerlukan pengaturan perundang-undangan.",0,,
18,Otomasi Kandang Dalam Rangka Meminimalisir Heat Stress Pada Ayam Broiler Dengan Metode Naive Bayes,"Kenaikan suhu yang melebihi zona nyaman mengakibatkan heat sress pada ayam broiler, dimana ayam akan mengalami penurunan pertumbuhan, penurunan pakan, kegelisahan, peningkatan konsumsi air dan berujung pada kematian. Suhu zona nyaman ayam broiler berkisar antara 20-25°C dan kelembaban berkisar 50-70%, sedangkan permasalahan saat ini suhu di indonesia berfluktuasi antara 29-36°C. Berdasarkan masalah tersebut dibuatkan sistem otomasi untuk meminimalisir heat stres. Pada penelitian ini menggunakan 2 parameter yaitu suhu dan kelembaban dari pembacaan sensor DHT11 sebagai masukan dan keluaran berupa kecepatan kipas dan buka tutup tirai pada sistem. Untuk menentukan keluaran menggunakan metode perhitungan klasfikasi metode Naive Bayes. Dapat disimpulkan bahwa sistem ini mampu meminimalisir heat stress dengan pengujian yang dilakukan selama 2 minggu dengan menggunakan 600 ekor ayam broiler dimana kematian ayam sebelum menggunakan sistem otomasi yaitu berjumlah 64 dan sesudah menggunakan sistem otomasi yaitu 31 ekor.",2,,
19,PENERAPAN ALGORITMA BOYER MOORE DAN METODE N-GRAM PADA APLIKASI PENYUNTING NASKAH TEKS BAHASA INDONESIA BERBASIS WEB,"Literatur yang saat ini sering digunakan adalah dalam bentuk digital dengan format pdf. Untuk dapat mengolah perlu dilakukan konversi kedalam bentuk teks yang editable. Hasil konversi yang dihasilkan kebanyakan dalam bentuk yang tidak teratur format penulisannya dan perlu dilakukan pengeditan yang memerlukan waktu dan tenaga yang tidak sedikit. Untuk melakukan pengeditan yang lebih efisien diperlukanlah sebuah aplikasi yang dapat mengkoreksi teks secara otomatis. Pencarian dan perbaikan kesalahan ejaan menggunakan algoritma Boyer Moore dan metode N-Gram. Dari hasil pengujian, Penerapan Algoritma Boyer Moore pada aplikasi untuk mencari kata yang salah dalam sebuah teks mendapatkan keberhasilan 100%. Kata-kata pada teks di bandingkan dengan kata-kata dalam database dan dengan Algoritma Boyer Moore kata yang tidak sesuai dengan database berhasil dikenali dan dianggap sebagai kata yang salah. Penerapan Metode N-Gram pada aplikasi pengkoresi teks, dari hasil pengujian mendapatkan ratarata tingkat keberhasilan mencapai 89,68%. Masih ada beberapa kata yang diperbaiki tidak sesuai dengan kata yang seharusnya karena perhitungan dengan Metode N-Gram mendapatkan hasil yang lebih tinggi dengan kata lain pada database..",0,,
20,Implementasi Algoritma Knuth Morris Pratt Dalam Pencarian Berkas Berbasis Web (Studi Kasus: Dinas Pariwisata Kota Makassar),"Dinas Pariwisata Kota Makassar adalah sebuah instansi pemerintah kota Makassar, dimana sistem pengarsipan pada suatu kantor sangat penting, karena jika suatu berkas dari suatu kantor hilang atau tercecer pekerjaan akan terganggu. Sementara sistem yang saat ini digunakan oleh Dinas Pariwisata Kota Makassar masih manual sehingga pencarian berkas membutuhkan waktu cukup lama. Dengan adanya sistem pencarian berkas secara digital ini kiranya dapat menghemat waktu pencarian sistem ini di rancang berbasis website dengan menerapkan algoritma Knuth Morris Pratt. Dari hasil penelitian ini didapatkan waktu perbadingan antara pencarian manual dan pencarian algoritma knuth morris pratt yaitu pada proses pencarian kata rapat, undangan, pariwisata, file, penelitian, promosi, daftar hadir, surat, pengembangan, data, magang diperoleh waktu eksekusi untuk pencarian manual 0.00513 detik, 0.00504 detik, 0.00527 detik, 0.00526 detik, 0.00176 detik, 0.00557 detik,0.00529 detik, 0.00417 detik, 0.00397 detik, 0.0039 detik sedangkan untuk pencarian dengan algoritma knuth morris pratt diperoleh waktu eksekusi 0.00188 detik, 0.00307 detik, 0.0018 detik, 0.00286 detik, 0.0033 detik,0.00192 detik, 0.00304 detik, 0.00174 detik,0.00183 detik, 0.00182 detik sehingga didapatkan jumlah waktu untuk pencarian manual 0.42714 detik dan untuk algoritma knuth morris pratt 0.20709 detik dengan rata-rata untuk pencarian manual 0.00427 detik dan 0.00207 detik untuk algoritma knuth morris pratt atau algoritma knuth morris pratt lebih cepat 48,48% .",0,,1
21,Sistem Kecerdasan Buatan untuk Menentukan Harga Sewa Kamar Kost Menggunakan Algoritma Fuzzy Tsukamoto,"Menentukan harga sewa kamar kost merupakan hal yang penting. Banyak pemilik usaha rumah kost kesulitan dalam menentukan harga sewa, Karena jika pemilik usaha rumah kost salah dalam penentuan harga sewa membuat pemilik usaha rumah kost tidak mendapatkan untung yang maksimal, demi efisiensi pemilik usaha rumah kost dituntut memiliki sistem kecerdasan yang dapat digunakan sebagai media pengambilan keputusan dalam menentukan harga sewa agar mendapatkan harga yang tepat. Pada sistem kecerdasan ini menggunakan metode Fuzzy Tsukamoto dengan menggunakan tiga variabel fuzzy yaitu : jarak ke kampus, luas kamar dan fasilitas. Sistem kecerdasan buatan untuk menentukan harga sewa kamar kost ini dibuat untuk membantu pihak pemilik usaha rumah kost dalam proses penentuan harga kamar kost sesuai dengan kriteria yang diinginkan dalam merintis usaha ini. Hasil penelitian ini adalah adanya aplikasi penentu harga sewa kamar kost dengan algoritma Fuzzy Tsukamoto yang dapat digunakan untuk menentukan harga sewa kamar kost dengan tepat.",0,,
22,IMPLEMENTASI ALGORITMA KNUTH MORRIS PRATT PADA APLIKASI PENERJEMAHAN BAHASA MANDAILING-INDONESIA,"Lahirnya teknologi informasi komputer dan fasilitas pendukung seprti layanan internet saat ini membuat perkembangan yang sangat luas. Segala informasi-informasi dapat didapatkan begitu cepat membuat jarak dan waktu tidak menjadi masalah. Namaun disamping itu masih jarang ditemukan aplikasi yang dapat mempermudah proses tranlasi suatu kata kedalam bahasa Mandailing-Indonesia. Aplikasi ini dirasa perlu karna banyaknya masyarakat yang belum mengetahui sebagian dari arti bahasa Mandailing itu sendiri. Proses tranlasi kata ini dilakukan hanya dalam bentuk kata dimana kata yang akan dicari akan muncul beserta arti kata tersebut. Pencarian kata meneraapkan prinsip good sufix(dimana karakter yang dicari sejajar dengan karakter yang menyerupainya) serta prinsip bad character(dimana jika tidak memiliki kemiripan langsung dibuang). Dalam skripsi ini akan dibahas tentang cara menciptakan Aplikasi Penerjemahan Bahasa Mandailing-Indonesia yang bermamfaat sebagai pembelajaran bagi masyarakat mandailing Natal itu sendiri, serta untuk mepermudah pengguna dalam proses translasi suatu kata dengan memamfaatkan algoritma knuth morris pratt. Algoritma knuth morris pratt merupakan pencocokan string yang dianggap lebih mudah pada aplikasi ini, dan dirancang menggunakan Microsoft Visual Studio 2008.",0,,
